confirmed agent-registration: 6 symbols, 3 files
confirmed direct-message-send: 3 symbols, 3 files
confirmed reply-threading: 5 symbols, 3 files
confirmed inbox-and-read-receipts: 5 symbols, 2 files
confirmed dispatch-runs-and-claim: 6 symbols, 4 files
confirmed channels: 6 symbols, 3 files
confirmed environment-registry: 6 symbols, 3 files
confirmed spawn-requests: 5 symbols, 3 files
confirmed status-engine: 6 symbols, 4 files
confirmed work-loop-contracts: 5 symbols, 3 files
confirmed reconcile-sweep: 3 symbols, 2 files
confirmed ntfy-phone-notifications: 6 symbols, 1 files
confirmed session-mode-switch: 3 symbols, 2 files
confirmed agent-console-tail: 6 symbols, 3 files
confirmed terminal-controls-and-console-delivery: 6 symbols, 3 files
confirmed usage-quota: 6 symbols, 4 files
confirmed dashboard-next: 7 symbols, 4 files
confirmed mcp-tool-surface: 5 symbols, 4 files
confirmed environment-bridge-loops: 6 symbols, 4 files
confirmed bridge-dispatch-loop: 4 symbols, 2 files
confirmed runtime-adapters: 5 symbols, 4 files
confirmed claude-channel-sidecar: 6 symbols, 2 files
confirmed codex-app-server-session: 5 symbols, 2 files
confirmed hermes-gateway-host: 6 symbols, 1 files
confirmed aify-doctor: 6 symbols, 2 files
